Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12,Team 13,Team 14,Team 15,Team 16,Team 17,Team 18,Team 19,Team 20,Team 21,Team 22,Team 23,Team 24,Team 25,Team 26,Team 27,Team 28 (ex-core)
anng,apoh,xzhang,Ming Jun Tan,Fiona Lim,akolgano,ypua,nloh,Ryan Chiam,Neoprana Soemardjan,jigan,ysng,napatil,Lionel Goh,yi-tan,rsiah,sileow,myuen,Kaung Myat San,bralee,Axel Lee,Teck Cheng Lee,jaslim,nsamarin,Tricia Teng,achak,xlok,Chris Wan
,,,35.62,5.11,,,,25.32,11.5,,,,8.6,,,,,,,47.9,5.8,,,35.92,,,102.00
bhowe,soemin,mjoe,cdman dan,Sin Chee Tan,Divya B,Jeffrey Goh,geheng,giblee,twtan,ssian,hui-lim,marlee,jlum,wchoo,h thant,lyanga,nsan,Elizabeth Foo,jngew,Chloe Pesty,ochng,wjhoe,gyong-si,kagoh,Remi Gilliot,lwin,Handsome Tan
,,,80.94,52.73,,7.38,,,,,,,,,,,,,,,,,,,,,39.00
njohansa,tyingchu,dkhoo,Ivan Ho,Yuchi Chen,thhtun,Sam Sam,pytun,Pulkit Chowdry,jotong,btan,ysetiawa,aang-shu,haloh,Jeff Lim,pzaw,jalin,seayeo,Yip Fai Evin Lau,sthiagar,joho,cgoh,Joshua Lai,malee,em sung,rpeavey,huvu,Li Qian Teng
,,,1.58,11.77,,,,21.83,,,,,,6.31,,,,10.81,,,,6.14,,,,,29.00
aerh,YU-YEN CHEN,kmar,lyndy koh,Thant Htet Aung,bwee,chllee,thkumara,aoo,chikoh,cwijaya,cbaey,zkeow,lshein,p pallav,cbandara,zyeong,Brad Loh,Shivani Mariappan,dahlim,lhongzhu,Ryan Tan,xf low,julhong,ka-tan,Likitha R,anteo,Louisa N and Timberley
,23.83,,5.7,,,,,,,,,,,32.1,,,4.8,15.49,,,,,3.33,,,,17.00
jelly,Jason L,egoh,hloh,Daryl Ong,Hubert Lim,mwin,Jerome Lim,PTE Teng P,jsoh,mlow,athonda,tliangso,pang,shayeo,jochen,ylai,mohikhan,xyeo,giho,iachong,yoong,Junjie Su,Cedric Yau,dfasius,Luqman Hakim,Sze Cheng Teo,Syed Ahmad Alwi
,,,30.1,6.15,,,1.75,,,,,,,,,,,,,,,18.5,15.57,,2.41,,68.00
0,23.83,0,148.24,75.76,0,7.38,1.75,47.15,11.5,0,0,0,8.6,38.41,0,0,4.8,26.3,0,47.9,5.8,24.64,18.9,35.92,2.41,0,255.00
