Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12,Team 13,Team 14,Team 15,Team 16,Team 17,Team 18,Team 19,Team 20,Team 21,Team 22,Team 23,Team 24,Team 25,Team 26,Team 27,Team 28 (ex-core)
anng,apoh,xzhang,Ming Jun Tan,Fiona Lim,akolgano,ypua,nloh,Ryan Chiam,Neoprana Soemardjan,jigan,ysng,napatil,Lionel Goh,yi-tan,rsiah,sileow,myuen,Kaung Myat San,bralee,Axel Lee,tlee,jaslim,nsamarin,Tricia Teng,achak,xlok,Chris Wan
,,,70.45,50.75,,,,80.69,78.76,,,,105.46,,,,,7.10,,169.31,5.80,9.26,,118.24,,,102.00
bhowe,soemin,mjoe,cdman dan,Sin Chee Tan,Divya B,Jeffrey Goh,geheng,giblee,twtan,ssian,hui-lim,marlee,jlum,wchoo,h thant,lyanga,nsan,Elizabeth Foo,jngew,Chloe Pesty,ochng,wjhoe,gyong-si,kagoh,Remi Gilliot,lwin,Handsome Tan
,,,224.98,185.51,,51.19,,,,,,,,,,,,13.70,,137.90,,1.63,,,1.90,,150.49
njohansa,tyingchu,dkhoo,Ivan Ho,Yuchi Chen,thhtun,Sam Sam,pytun,Pulkit Chowdry,jotong,btan,ysetiawa,aang-shu,haloh,Jeff Lim,pzaw,jalin,seayeo,Yip Fai Evin Lau,sthiagar,joho,cgoh,Joshua Lai,malee,em sung,rpeavey,huvu,Li Qian Teng
,,,1.58,70.64,,5.90,,55.83,,,,,,13.33,,,,50.54,,,,36.74,,15.63,,,40.25
aerh,YU-YEN CHEN,kmar,lyndy koh,Thant Htet Aung,bwee,chllee,thkumara,aoo,chikoh,cwijaya,cbaey,zkeow,lshein,p pallav,cbandara,zyeong,Brad Loh,Shivani Mariappan,dahlim,lhongzhu,tiatan,xf low,julhong,ka-tan,Likitha R,anteo,Louisa N and Timberley
,103.24,,5.70,17.99,,,,,,,,,,86.88,,,9.50,48.40,,,,2.20,51.26,,,6.27,17.00
jelly,Jason L,egoh,hloh,Daryl Ong,Hubert Lim,mwin,Jerome Lim,PTE Teng P,jsoh,mlow,athonda,tliangso,pang,shayeo,jochen,ylai,mohikhan,xyeo,giho,iachong,yoong,Junjie Su,Cedric Yau,dfasius,Luqman Hakim,Sze Cheng Teo,Syed Ahmad Alwi
,,,90.72,17.55,,,30.80,,,,,,,,,,,2.00,,,,92.66,42.26,,14.21,,83.43
0.00,103.24,0.00,393.43,342.44,0.00,57.09,30.80,136.52,78.76,0.00,0.00,0.00,105.46,100.21,0.00,0.00,9.50,121.74,0.00,307.21,5.80,142.49,93.52,133.87,16.11,6.27,393.17
